user_id,product,city
47739,Phone,Kolkata
101866,Mouse,Chennai
125592,Phone,Kolkata
84522,Phone,Kolkata
179928,Phone,Chennai
160631,Phone,Mumbai
36757,Laptop,Chennai
128102,Phone,Mumbai
134890,Keyboard,Mumbai
193481,Laptop,Kolkata
187921,Keyboard,Chennai
102807,Phone,Kolkata
119648,Laptop,Kolkata
59652,Laptop,Delhi
88971,Mouse,Chennai
185991,Keyboard,Mumbai
186309,Keyboard,Kolkata
186091,Phone,Mumbai
66351,Laptop,Delhi
161839,Keyboard,Delhi
121333,Laptop,Mumbai
176446,Keyboard,Delhi
156983,Mouse,Chennai
47613,Phone,Chennai
395,Phone,Chennai
72539,Keyboard,Chennai
62538,Keyboard,Chennai
91158,Mouse,Kolkata
105254,Mouse,Chennai
61944,Keyboard,Kolkata
59112,Phone,Mumbai
160341,Keyboard,Kolkata
122500,Laptop,Mumbai
89171,Phone,Delhi
82169,Phone,Kolkata
30033,Phone,Kolkata
191528,Keyboard,Mumbai
31311,Keyboard,Kolkata
122105,Mouse,Delhi
138077,Mouse,Mumbai
26454,Keyboard,Mumbai
137650,Laptop,Chennai
75367,Laptop,Kolkata
40390,Mouse,Chennai
114291,Laptop,Chennai
148670,Keyboard,Chennai
46397,Keyboard,Mumbai
143416,Phone,Chennai
153274,Phone,Mumbai
182902,Phone,Delhi
128491,Mouse,Chennai
184139,Keyboard,Mumbai
62928,Laptop,Mumbai
106012,Laptop,Chennai
196389,Keyboard,Delhi
156853,Phone,Kolkata
19245,Phone,Kolkata
22998,Keyboard,Chennai
196587,Keyboard,Chennai
194926,Laptop,Mumbai
164284,Mouse,Delhi
143818,Laptop,Kolkata
178456,Mouse,Delhi
165413,Keyboard,Delhi
29945,Laptop,Delhi
135756,Keyboard,Chennai
25202,Keyboard,Delhi
178712,Mouse,Kolkata
181629,Keyboard,Mumbai
157363,Keyboard,Kolkata
32922,Mouse,Kolkata
62594,Phone,Kolkata
176229,Keyboard,Delhi
67721,Keyboard,Kolkata
143582,Phone,Chennai
98148,Phone,Delhi
57134,Keyboard,Delhi
35060,Mouse,Chennai
12898,Phone,Delhi
40078,Keyboard,Chennai
20317,Keyboard,Kolkata
153404,Mouse,Chennai
105962,Keyboard,Delhi
151304,Phone,Chennai
7439,Keyboard,Delhi
192130,Mouse,Kolkata
143797,Laptop,Chennai
118395,Keyboard,Delhi
82784,Mouse,Mumbai
2049,Laptop,Chennai
183038,Mouse,Mumbai
115039,Keyboard,Mumbai
59320,Mouse,Delhi
78456,Phone,Kolkata
94565,Phone,Delhi
17086,Mouse,Kolkata
69854,Keyboard,Delhi
59350,Mouse,Kolkata
49743,Keyboard,Kolkata
160422,Keyboard,Mumbai
196878,Laptop,Mumbai
135547,Mouse,Chennai
124025,Keyboard,Mumbai
26804,Laptop,Mumbai
2968,Keyboard,Delhi
17001,Mouse,Kolkata
175277,Phone,Chennai
184567,Mouse,Chennai
42200,Phone,Delhi
192267,Mouse,Mumbai
195140,Mouse,Chennai
104069,Phone,Mumbai
169368,Laptop,Delhi
191237,Phone,Delhi
153726,Keyboard,Chennai
127983,Mouse,Mumbai
175491,Phone,Kolkata
95054,Phone,Chennai
165853,Mouse,Delhi
199415,Mouse,Delhi
80228,Keyboard,Kolkata
186381,Keyboard,Delhi
131654,Keyboard,Mumbai
31016,Keyboard,Delhi
124646,Mouse,Mumbai
182348,Phone,Mumbai
104540,Keyboard,Delhi
