user_id,product,city
1832,Laptop,Delhi
9277,Mouse,Mumbai
4280,Phone,Delhi
16219,Laptop,Mumbai
17169,Laptop,Delhi
12801,Keyboard,Chennai
5661,Phone,Kolkata
14008,Laptop,Delhi
19516,Mouse,Kolkata
1552,Mouse,Kolkata
18005,Laptop,Kolkata
9667,Phone,Chennai
3942,Mouse,Delhi
17619,Laptop,Chennai
15019,Laptop,Mumbai
6891,Keyboard,Chennai
6297,Laptop,Mumbai
7627,Phone,Kolkata
2695,Keyboard,Kolkata
16848,Mouse,Kolkata
17411,Phone,Chennai
2351,Keyboard,Mumbai
15399,Phone,Delhi
3852,Laptop,Mumbai
3296,Keyboard,Mumbai
18903,Keyboard,Mumbai
118,Keyboard,Chennai
19518,Keyboard,Kolkata
16988,Keyboard,Mumbai
13324,Mouse,Mumbai
3577,Phone,Mumbai
19871,Laptop,Delhi
16748,Phone,Delhi
11713,Phone,Chennai
1841,Mouse,Mumbai
15944,Keyboard,Chennai
8125,Phone,Delhi
3818,Laptop,Kolkata
9758,Mouse,Chennai
4913,Mouse,Kolkata
14139,Laptop,Chennai
13134,Keyboard,Kolkata
6430,Phone,Kolkata
18810,Laptop,Delhi
13144,Laptop,Kolkata
14504,Mouse,Mumbai
15305,Laptop,Chennai
15009,Laptop,Chennai
18853,Keyboard,Delhi
6894,Laptop,Mumbai
19862,Keyboard,Chennai
9087,Phone,Chennai
4082,Phone,Chennai
19496,Phone,Mumbai
2873,Mouse,Chennai
19795,Phone,Mumbai
3138,Mouse,Chennai
12483,Laptop,Mumbai
8079,Mouse,Mumbai
2017,Phone,Kolkata
15848,Laptop,Chennai
8613,Keyboard,Kolkata
3070,Mouse,Chennai
14989,Phone,Mumbai
12515,Laptop,Chennai
19371,Laptop,Delhi
15411,Laptop,Delhi
1005,Laptop,Delhi
17918,Keyboard,Delhi
3306,Laptop,Chennai
13224,Phone,Delhi
9620,Laptop,Delhi
4237,Phone,Kolkata
5030,Phone,Mumbai
510,Phone,Mumbai
8588,Laptop,Chennai
6491,Phone,Mumbai
10785,Phone,Kolkata
3598,Mouse,Mumbai
5977,Mouse,Kolkata
4787,Laptop,Kolkata
13743,Laptop,Delhi
18701,Laptop,Kolkata
16263,Phone,Mumbai
1173,Mouse,Kolkata
17848,Mouse,Chennai
17398,Phone,Kolkata
13861,Mouse,Chennai
16088,Keyboard,Mumbai
7715,Mouse,Mumbai
18768,Phone,Chennai
12615,Mouse,Mumbai
15477,Mouse,Mumbai
4226,Keyboard,Delhi
8866,Keyboard,Mumbai
8296,Keyboard,Delhi
8783,Laptop,Kolkata
14276,Mouse,Mumbai
18296,Phone,Kolkata
12915,Mouse,Chennai
16554,Mouse,Delhi
14215,Mouse,Kolkata
13872,Phone,Delhi
15000,Keyboard,Delhi
9601,Mouse,Kolkata
13495,Keyboard,Chennai
1990,Mouse,Mumbai
16170,Laptop,Delhi
3840,Phone,Chennai
15390,Mouse,Mumbai
19429,Laptop,Delhi
4027,Keyboard,Delhi
14921,Keyboard,Chennai
1936,Mouse,Mumbai
9725,Keyboard,Delhi
433,Phone,Chennai
150,Keyboard,Chennai
17538,Mouse,Chennai
5918,Laptop,Mumbai
7783,Phone,Delhi
8099,Keyboard,Mumbai
4943,Keyboard,Delhi
6941,Laptop,Chennai
13579,Keyboard,Delhi
11359,Phone,Kolkata
8932,Laptop,Chennai
13451,Mouse,Kolkata
18393,Mouse,Kolkata
16278,Mouse,Kolkata
19000,Keyboard,Chennai
3338,Phone,Delhi
4622,Mouse,Kolkata
17140,Mouse,Chennai
8461,Laptop,Delhi
10895,Laptop,Delhi
18245,Mouse,Delhi
10045,Mouse,Chennai
5703,Phone,Delhi
1037,Phone,Chennai
13219,Mouse,Chennai
3219,Keyboard,Kolkata
9619,Phone,Mumbai
205,Phone,Chennai
6230,Laptop,Kolkata
18105,Phone,Chennai
18006,Phone,Mumbai
15454,Mouse,Mumbai
8378,Phone,Chennai
5861,Keyboard,Kolkata
184,Mouse,Kolkata
438,Keyboard,Delhi
12417,Mouse,Chennai
353,Phone,Delhi
4818,Laptop,Delhi
18088,Laptop,Kolkata
3447,Phone,Delhi
8002,Mouse,Chennai
4896,Phone,Kolkata
13473,Mouse,Mumbai
19043,Phone,Delhi
13312,Laptop,Kolkata
2673,Laptop,Mumbai
15668,Keyboard,Kolkata
14868,Keyboard,Delhi
11789,Keyboard,Chennai
2078,Keyboard,Delhi
10042,Phone,Mumbai
3346,Laptop,Kolkata
14260,Keyboard,Chennai
3416,Mouse,Delhi
3192,Phone,Delhi
11801,Keyboard,Delhi
4010,Laptop,Mumbai
6274,Laptop,Mumbai
5145,Laptop,Mumbai
10298,Phone,Chennai
4099,Mouse,Mumbai
14969,Phone,Mumbai
1532,Mouse,Delhi
17988,Laptop,Mumbai
10335,Mouse,Chennai
17985,Keyboard,Mumbai
15602,Laptop,Delhi
